location_set,objective_value,obj_travel_time,obj_wait_gh_pre_dock,obj_wait_gh_dock,obj_wait_ff_dock,truck,weight_occupied,length_occupied
locs_1,19.507104328343196,19.507104328343193,0.0,0.0,0.0,1,3000.0,4.602
locs_1,19.507104328343196,19.507104328343193,0.0,0.0,0.0,2,3000.0,4.602
locs_1,19.507104328343196,19.507104328343193,0.0,0.0,0.0,3,0.0,0.0
locs_2,45.541530506097,31.741928609887577,0.0,0.0,13.799601896209424,1,1000.0,1.534
locs_2,45.541530506097,31.741928609887577,0.0,0.0,13.799601896209424,2,3000.0,4.602
locs_2,45.541530506097,31.741928609887577,0.0,0.0,13.799601896209424,3,2000.0,3.068
locs_3,33.89579631965805,33.89579631965805,0.0,0.0,0.0,1,2000.0,3.068
locs_3,33.89579631965805,33.89579631965805,0.0,0.0,0.0,2,2000.0,3.068
locs_3,33.89579631965805,33.89579631965805,0.0,0.0,0.0,3,2000.0,3.068
locs_4,36.319657179170655,36.319657179170655,0.0,0.0,0.0,1,3000.0,4.602
locs_4,36.319657179170655,36.319657179170655,0.0,0.0,0.0,2,3000.0,4.602
locs_4,36.319657179170655,36.319657179170655,0.0,0.0,0.0,3,0.0,0.0
locs_4,36.319657179170655,36.319657179170655,0.0,0.0,0.0,1,3000.0,4.602
locs_4,36.319657179170655,36.319657179170655,0.0,0.0,0.0,2,3000.0,4.602
locs_4,36.319657179170655,36.319657179170655,0.0,0.0,0.0,3,0.0,0.0
locs_1,19.507104328343196,19.507104328343193,0.0,0.0,0.0,1,3000.0,4.602
locs_1,19.507104328343196,19.507104328343193,0.0,0.0,0.0,2,3000.0,4.602
locs_1,19.507104328343196,19.507104328343193,0.0,0.0,0.0,3,0.0,0.0
locs_1,19.507104328343196,19.507104328343193,0.0,0.0,0.0,1,3000.0,4.602
